----------------------------------------
[23.12.2020 | 11:24:34] Binarization frame 432 complete!
[23.12.2020 | 11:24:34] Binarization frame 433 complete!
[23.12.2020 | 11:24:34] Binarization frame 434 complete!
[23.12.2020 | 11:24:34] Binarization frame 435 complete!
[23.12.2020 | 11:24:34] Binarization frame 436 complete!
[23.12.2020 | 11:24:34] Binarization frame 437 complete!
[23.12.2020 | 11:24:34] Binarization frame 438 complete!
[23.12.2020 | 11:24:34] Binarization frame 439 complete!
[23.12.2020 | 11:24:34] Binarization frame 440 complete!
[23.12.2020 | 11:24:34] Binarization frame 441 complete!
[23.12.2020 | 11:24:34] Binarization frame 442 complete!
[23.12.2020 | 11:24:34] Binarization frame 443 complete!
[23.12.2020 | 11:24:34] Binarization frame 444 complete!
[23.12.2020 | 11:24:34] Binarization frame 445 complete!
[23.12.2020 | 11:24:34] Binarization frame 446 complete!
[23.12.2020 | 11:24:34] Binarization frame 447 complete!
[23.12.2020 | 11:24:34] Binarization frame 448 complete!
[23.12.2020 | 11:24:34] Binarization frame 449 complete!
[23.12.2020 | 11:24:34] Binarization frame 450 complete!
[23.12.2020 | 11:24:34] Binarization frame 451 complete!
[23.12.2020 | 11:24:34] Binarization frame 452 complete!
[23.12.2020 | 11:24:34] Binarization frame 453 complete!
[23.12.2020 | 11:24:34] Binarization frame 454 complete!
[23.12.2020 | 11:24:34] Binarization frame 455 complete!
[23.12.2020 | 11:24:34] Binarization frame 456 complete!
[23.12.2020 | 11:24:34] Binarization frame 457 complete!
[23.12.2020 | 11:24:34] Binarization frame 458 complete!
[23.12.2020 | 11:24:34] Binarization frame 459 complete!
[23.12.2020 | 11:24:34] Binarization frame 460 complete!
[23.12.2020 | 11:24:34] Binarization frame 461 complete!
[23.12.2020 | 11:24:34] Binarization frame 462 complete!
[23.12.2020 | 11:24:34] Binarization frame 463 complete!
[23.12.2020 | 11:24:34] Binarization frame 464 complete!
[23.12.2020 | 11:24:34] Binarization frame 465 complete!
[23.12.2020 | 11:24:34] Binarization frame 466 complete!
[23.12.2020 | 11:24:34] Binarization frame 467 complete!
[23.12.2020 | 11:24:34] Binarization frame 468 complete!
[23.12.2020 | 11:24:34] Binarization frame 469 complete!
[23.12.2020 | 11:24:34] Binarization frame 470 complete!
[23.12.2020 | 11:24:34] Binarization frame 471 complete!
[23.12.2020 | 11:24:34] Binarization frame 472 complete!
[23.12.2020 | 11:24:34] Binarization frame 473 complete!
[23.12.2020 | 11:24:34] Binarization frame 474 complete!
[23.12.2020 | 11:24:34] Binarization frame 475 complete!
